VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
1N4BZ0CP5G,King,Seattle,WA,98125,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,46,349455557,POINT (-122.30253 47.72656),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000202
KNDJX3AEXG,King,Renton,WA,98058,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,31950,11,210641315,POINT (-122.08747 47.4466),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025804
5YJ3E1EB2J,King,Seattle,WA,98115,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,43,171417494,POINT (-122.31676 47.68156),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033002600
1C4RJXN64R,Kitsap,Bremerton,WA,98312,2024,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,26,262542927,POINT (-122.65223 47.57192),PUGET SOUND ENERGY INC,53035080600
5YJ3E1EB1J,Thurston,Olympia,WA,98512,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,35,110432815,POINT (-122.9131 47.01359),PUGET SOUND ENERGY INC,53067011810
5YJXCAE20J,King,Seattle,WA,98177,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,32,475184265,POINT (-122.36498 47.72238),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000500
1FT6W5L72R,Snohomish,Lake Stevens,WA,98258,2024,FORD,F-150,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,44,271988713,POINT (-122.06402 48.01497),PUGET SOUND ENERGY INC,53061052505
5YJSA1E23J,Yakima,Toppenish,WA,98948,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,249,0,15,154011287,POINT (-120.31298 46.37508),PACIFICORP,53077940005
1N4AZ0CP9F,Kitsap,Bainbridge Island,WA,98110,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,23,265257807,POINT (-122.521 47.62728),PUGET SOUND ENERGY INC,53035090800
5YJ3E1EB4K,King,Seattle,WA,98109,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,36,258458476,POINT (-122.35022 47.63824),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006702
5YJ3E1EB1J,King,Kirkland,WA,98034,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,1,475655995,POINT (-122.22901 47.72201),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022203
5YJSA1H27F,Kitsap,Bremerton,WA,98312,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,0,26,237052427,POINT (-122.65223 47.57192),PUGET SOUND ENERGY INC,53035080600
5YJ3E1EA0L,Snohomish,Lynnwood,WA,98087,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,21,127179363,POINT (-122.27981 47.85727),PUGET SOUND ENERGY INC,53061041816
JN1AZ0CP5C,Kitsap,Bremerton,WA,98310,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,23,252571133,POINT (-122.61136 47.5752),PUGET SOUND ENERGY INC,53035080200
3C3CFFGE4F,Yakima,Yakima,WA,98908,2015,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87,0,14,102599241,POINT (-120.60199 46.59817),PACIFICORP,53077002801
WA1LABGE3K,Thurston,Tenino,WA,98589,2019,AUDI,E-TRON,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,204,0,20,255297647,POINT (-122.85135 46.85752),PUGET SOUND ENERGY INC,53067012610
1G1FZ6S03L,Snohomish,Snohomish,WA,98290,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,0,39,255309337,POINT (-122.09305 47.91265),PUGET SOUND ENERGY INC,53061053603
1N4AZ0CP6D,King,Duvall,WA,98019,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,45,166131948,POINT (-121.98609 47.74068),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032401
1N4BZ1CP3K,King,Seattle,WA,98103,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,36,101400680,POINT (-122.35436 47.67596),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033002900
KNDRJDLH7N,Thurston,Lacey,WA,98503,2022,KIA,SORENTO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,22,205919339,POINT (-122.82324 47.04437),PUGET SOUND ENERGY INC,53067011300
7SAYGDEE4P,Snohomish,Monroe,WA,98272,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,39,258158197,POINT (-121.98087 47.8526),PUGET SOUND ENERGY INC,53061053802
WP1AE2A25G,Kitsap,Seabeck,WA,98380,2016,PORSCHE,CAYENNE,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,0,35,187199456,POINT (-122.81585 47.64509),PUGET SOUND ENERGY INC,53035091301
5YJXCBE27H,Snohomish,Lynnwood,WA,98087,2017,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,21,258062262,POINT (-122.27981 47.85727),PUGET SOUND ENERGY INC,53061051804
KM8K53AG1L,King,Shoreline,WA,98155,2020,HYUNDAI,KONA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,258,0,32,278739331,POINT (-122.3175 47.75781),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033021100
5YJSA1E40G,Snohomish,Bothell,WA,98012,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,1,194002567,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061052009
7SAYGAEE1R,Snohomish,Bothell,WA,98012,2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,269836731,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061052009
5YJXCAE28J,King,Redmond,WA,98052,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,45,475863335,POINT (-122.13158 47.67858),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032321
WBY1Z4C58E,Snohomish,Lake Stevens,WA,98258,2014,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,0,44,106950455,POINT (-122.06402 48.01497),PUGET SOUND ENERGY INC,53061052604
5YJYGDEF1L,Kitsap,Olalla,WA,98359,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,26,104780791,POINT (-122.54729 47.42602),PUGET SOUND ENERGY INC,53035092802
WBA8E1C3XH,Snohomish,Everett,WA,98208,2017,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,44100,44,247400478,POINT (-122.18637 47.89251),PUGET SOUND ENERGY INC,53061041701
5YJXCBE22J,King,Kirkland,WA,98034,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,1,118149790,POINT (-122.22901 47.72201),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022203
5YJ3E1EA3L,King,Seattle,WA,98125,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,46,124517347,POINT (-122.30253 47.72656),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000102
7FCTGAAA3P,Snohomish,Bothell,WA,98012,2023,RIVIAN,R1T,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,240889645,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061052009
3FA6P0SU8G,Yakima,Yakima,WA,98903,2016,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,15,318463302,POINT (-120.4778 46.55351),PACIFICORP,53077001300
5YJ3E1EB3J,King,Redmond,WA,98052,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,45,322876627,POINT (-122.13158 47.67858),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032324
5YJ3E1EA8K,Thurston,Olympia,WA,98512,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,35,477366949,POINT (-122.9131 47.01359),PUGET SOUND ENERGY INC,53067011821
5YJSA1DN3D,Kitsap,Poulsbo,WA,98370,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,23,168573520,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035091100
5YJXCBE21G,Snohomish,Mukilteo,WA,98275,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,21,121078422,POINT (-122.29196 47.89908),PUGET SOUND ENERGY INC,53061042005
1N4AZ0CP3G,King,Bellevue,WA,98006,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,41,349586590,POINT (-122.12096 47.55584),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024901
5UX43EU07R,Snohomish,Mukilteo,WA,98275,2024,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,39,0,21,249829681,POINT (-122.29196 47.89908),PUGET SOUND ENERGY INC,53061042005
JM3KKDHA7R,Kitsap,Poulsbo,WA,98370,2024,MAZDA,CX-90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,0,23,270047242,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035091100
1G1FY6S0XK,Kitsap,Suquamish,WA,98392,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,23,278171323,POINT (-122.55242 47.73162),PUGET SOUND ENERGY INC,53035940100
LPSED3KA7M,King,Seatac,WA,98148,2021,POLESTAR,PS2,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,233,0,33,271756775,POINT (-122.32863 47.46233),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033028500
1FTZR0816Y,King,Shoreline,WA,98133,2000,FORD,RANGER,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,58,0,32,205243356,POINT (-122.35029 47.71871),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033020900
1N4AZ0CP4F,King,Seattle,WA,98103,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,46,227903245,POINT (-122.35436 47.67596),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001900
5YJ3E1EA5J,King,Issaquah,WA,98029,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,5,348342004,POINT (-122.00292 47.54748),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032221
JTDKARFP6L,Snohomish,Monroe,WA,98272,2020,TOYOTA,PRIUS PRIME (PHEV),Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,39,2897212,POINT (-121.98087 47.8526),PUGET SOUND ENERGY INC,53061052203
KNDRJDLH5N,Thurston,Yelm,WA,98597,2022,KIA,SORENTO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,2,207310582,POINT (-122.60735 46.94239),PUGET SOUND ENERGY INC,53067012530
WBY8P2C51K,King,Seattle,WA,98112,2019,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,153,0,43,202981572,POINT (-122.30207 47.64085),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006400
5YJ3E1EB8L,Yakima,Yakima,WA,98902,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,14,240544895,POINT (-120.52041 46.59751),PACIFICORP,53077000600
5YJYGDEE4L,Snohomish,Monroe,WA,98272,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,39,127390574,POINT (-121.98087 47.8526),PUGET SOUND ENERGY INC,53061052208
7SAYGDEE1P,Snohomish,Bothell,WA,98021,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,258510052,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051926
KNDCS3LF7P,Thurston,Olympia,WA,98502,2023,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,0,22,253544112,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067012001
5YJ3E1EA0K,Thurston,Olympia,WA,98501,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,22,227109466,POINT (-122.89165 47.03954),PUGET SOUND ENERGY INC,53067010700
5YJ3E1EB4M,Kitsap,Indianola,WA,98342,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,23,176331354,POINT (-122.51843 47.7487),PUGET SOUND ENERGY INC,53035940000
5YJ3E1EB9L,King,Issaquah,WA,98029,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,5,100559266,POINT (-122.00292 47.54748),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032220
WBY8P4C07L,King,Burien,WA,98166,2020,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,126,0,34,262944160,POINT (-122.34134 47.46593),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033027800
WBAJB1C56J,Snohomish,Lake Stevens,WA,98258,2018,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,54950,44,194021208,POINT (-122.06402 48.01497),PUGET SOUND ENERGY INC,53061052607
5YJ3E1EA0L,King,Seattle,WA,98109,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,36,271769788,POINT (-122.35022 47.63824),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033008003
5YJ3E1EB4S,Snohomish,Bothell,WA,98021,2025,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,277036840,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051918
5YJSA1E22G,Snohomish,Bothell,WA,98021,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,1,7861311,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051938
3C3CFFGE9D,King,Bellevue,WA,98006,2013,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87,0,41,206502999,POINT (-122.12096 47.55584),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024905
KNDPYDDH1S,Snohomish,Lynnwood,WA,98087,2025,KIA,SPORTAGE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,34,0,21,278025401,POINT (-122.27981 47.85727),PUGET SOUND ENERGY INC,53061041816
WBY7Z2C52J,King,Seattle,WA,98199,2018,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,114,0,36,118108749,POINT (-122.40092 47.65908),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033005803
1G1RB6S51J,Kitsap,Bremerton,WA,98310,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,23,475945368,POINT (-122.61136 47.5752),PUGET SOUND ENERGY INC,53035080300
7SAYGAEE9P,Snohomish,Brier,WA,98036,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,233696158,POINT (-122.29245 47.82557),PUGET SOUND ENERGY INC,53061051913
WBY1Z8C38H,Kitsap,Poulsbo,WA,98370,2017,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,97,0,23,208485784,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035090201
1N4AZ0CP6D,King,Shoreline,WA,98133,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,32,234458143,POINT (-122.35029 47.71871),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033020700
KNDCS3LF1P,Thurston,Olympia,WA,98506,2023,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,0,22,236370816,POINT (-122.87741 47.05997),PUGET SOUND ENERGY INC,53067010200
5YJ3E1EB8L,King,Issaquah,WA,98029,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,5,107504561,POINT (-122.00292 47.54748),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032220
KNDCC3LG1K,King,Kent,WA,98030,2019,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,47,6009167,POINT (-122.19975 47.37483),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029604
1C4RJYC64N,Snohomish,Lake Stevens,WA,98258,2022,JEEP,GRAND CHEROKEE,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,44,228903461,POINT (-122.06402 48.01497),PUGET SOUND ENERGY INC,53061052604
1N4AZ0CP6F,Thurston,Olympia,WA,98501,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,22,293290847,POINT (-122.89165 47.03954),PUGET SOUND ENERGY INC,53067010100
5YJYGDEE0L,Snohomish,Bothell,WA,98021,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,1,112474358,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051918
5YJ3E1EB5K,Yakima,Wapato,WA,98951,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,15,272657227,POINT (-120.42083 46.44779),PACIFICORP,53077940008
5UX43EU07S,King,Seattle,WA,98144,2025,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,40,0,37,278042341,POINT (-122.30866 47.57874),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010002
YV4H60RM8S,Thurston,Tenino,WA,98589,2025,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,35,0,35,269783937,POINT (-122.85135 46.85752),PUGET SOUND ENERGY INC,53067012610
1N4BZ1BP7L,Thurston,Olympia,WA,98502,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,141906180,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067012002
7G2CEHED0R,Snohomish,Everett,WA,98208,2024,TESLA,CYBERTRUCK,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,44,272127803,POINT (-122.18637 47.89251),PUGET SOUND ENERGY INC,53061041606
5YJYGDEE5M,Snohomish,Monroe,WA,98272,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,39,172776145,POINT (-121.98087 47.8526),PUGET SOUND ENERGY INC,53061052208
5UXKT0C58J,Thurston,Olympia,WA,98501,2018,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,13,0,22,187270233,POINT (-122.89165 47.03954),PUGET SOUND ENERGY INC,53067010700
1G1FX6S0XH,Thurston,Lacey,WA,98503,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,22,276888853,POINT (-122.82324 47.04437),PUGET SOUND ENERGY INC,53067011421
1N4BZ1CP6K,King,Seattle,WA,98112,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,43,307702468,POINT (-122.30207 47.64085),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006200
KM8JFDD28R,Snohomish,Everett,WA,98208,2024,HYUNDAI,TUCSON,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,0,44,271779924,POINT (-122.18637 47.89251),PUGET SOUND ENERGY INC,53061041601
7PDSGABA0P,Snohomish,Bothell,WA,98012,2023,RIVIAN,R1S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,261581428,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061052107
5YJ3E1EA1K,Thurston,Tumwater,WA,98501,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,35,225801243,POINT (-122.89165 47.03954),PUGET SOUND ENERGY INC,53067011720
5YJ3E1EB3J,Kitsap,Bremerton,WA,98312,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,35,1525709,POINT (-122.65223 47.57192),PUGET SOUND ENERGY INC,53035092000
WA1E2AFY0M,Thurston,Olympia,WA,98512,2021,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,35,144870743,POINT (-122.9131 47.01359),PUGET SOUND ENERGY INC,53067011000
5YJ3E1EB9L,King,Renton,WA,98059,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,11,275805232,POINT (-122.15716 47.48852),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025101
5YJSA1E23G,Kitsap,Port Orchard,WA,98367,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,26,259712799,POINT (-122.68471 47.50524),PUGET SOUND ENERGY INC,53035092101
JN1AZ0CP2C,King,Seattle,WA,98199,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,36,185990549,POINT (-122.40092 47.65908),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033005700
5YJ3E1EB7K,Yakima,Yakima,WA,98902,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,14,254309065,POINT (-120.52041 46.59751),PACIFICORP,53077000800
5UXTA6C0XN,Snohomish,Bothell,WA,98021,2022,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,1,195358530,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051918
JTDKARFP3H,Yakima,Selah,WA,98942,2017,TOYOTA,PRIUS PRIME (PHEV),Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,15,350394278,POINT (-120.53145 46.65405),PACIFICORP,53077003200
5YJXCAE22L,Snohomish,Bothell,WA,98012,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,293,0,1,8148381,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061052009
JTMABABA6R,Yakima,Moxee,WA,98936,2024,SUBARU,SOLTERRA,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,15,278397927,POINT (-120.39197 46.55621),PACIFICORP,53077001702
5YJ3E1EA7K,Snohomish,Bothell,WA,98012,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,1,219172838,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061051933
1G1FZ6S0XK,Thurston,Olympia,WA,98513,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,22,8788384,POINT (-122.81754 46.98876),PUGET SOUND ENERGY INC,53067011623
KNDCE3LG1L,Thurston,Olympia,WA,98506,2020,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,22,171482167,POINT (-122.87741 47.05997),PUGET SOUND ENERGY INC,53067010200
5YJYGDEE1M,Thurston,Olympia,WA,98513,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,2,148623632,POINT (-122.81754 46.98876),PUGET SOUND ENERGY INC,53067012332
KL8CK6S03G,Thurston,Olympia,WA,98501,2016,CHEVROLET,SPARK,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,82,0,22,198567757,POINT (-122.89165 47.03954),PUGET SOUND ENERGY INC,53067010700
5YJYGDEE3L,King,Seattle,WA,98109,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,36,107503133,POINT (-122.35022 47.63824),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007002
5YJSA1E41J,Thurston,Olympia,WA,98502,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,249,0,22,193795542,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067011100
3C3CFFGE1G,King,Seattle,WA,98121,2016,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,36,3397474,POINT (-122.34468 47.61578),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007202
1G1FW6S04J,Thurston,Olympia,WA,98501,2018,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,22,152207093,POINT (-122.89165 47.03954),PUGET SOUND ENERGY INC,53067011721
YV4BR0DZXN,Kitsap,Bainbridge Island,WA,98110,2022,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,23,218235251,POINT (-122.521 47.62728),PUGET SOUND ENERGY INC,53035090902
1N4BZ0CP4H,Kitsap,Bremerton,WA,98312,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,0,35,186928570,POINT (-122.65223 47.57192),PUGET SOUND ENERGY INC,53035080600
